source_file_name,source_row_number,street,from_street,to_street
Planned Paving.csv,1,N Vancouver Ave,N Russell St,N Monroe St
Planned Paving.csv,2,Se Martin Luther King Jr Blvd,Se Mill St,Se Madison St
Planned Paving.csv,3,Sw 10Th Ave,Main St,Burnside St
Planned Paving.csv,4,Nw 10Th Ave,Burnside St,Irving St
Planned Paving.csv,5,Nw Glisan St,11Th Ave,Broadway
Planned Paving.csv,6,Se Martin Luther King Jr Blvd,Washington St,Burnside St
Planned Paving.csv,7,Se Grand Ave,Salmon St,Stark St
Planned Paving.csv,8,NE Couch Ct,3rd Ave,Couch St
Planned Paving.csv,9,NW  THURMAN ST,26TH AVE,378’ E of 21ST AVE
Planned Paving.csv,10,NW  21ST AVE,MARSHALL ST,Vaughn st-Thruman st Ramp
Planned Paving.csv,11,NW  THURMAN ST,19TH AVE,15TH AVE
Planned Paving.csv,12,NW  14TH AVE,BURNSIDE ST,NORTHRUP ST
Planned Paving.csv,13,SW  WASHINGTON ST,9TH AVE,1ST AVE
Planned Paving.csv,14,SW  MORRISON ST,18TH AVE,11TH AVE
Planned Paving.csv,15,SW  JEFFERSON ST,841’ W of 20TH AVE (N SIDE),PARK AVE
Planned Paving.csv,16,SE  GRAND AVE,OAK ST,BURNSIDE ST
Planned Paving.csv,17,SE  SANDY BLVD,STARK ST,BURNSIDE ST
Planned Paving.csv,18,N  INTERSTATE AVE,LARRABEE ST,TILLAMOOK ST
Planned Paving.csv,19,N  BROADWAY,BROADWAY BRG,VANCOUVER AVE
Planned Paving.csv,20,NE  57TH AVE,HALSEY ST,FREMONT ST
Planned Paving.csv,21,NE  BROADWAY,WILLIAMS AVE,3RD AVE
Planned Paving.csv,22,SE  CESAR E CHAVEZ BLVD,HOLGATE BLVD,BURNSIDE ST
Planned Paving.csv,23,NE  60TH AVE,BURNSIDE ST,HALSEY ST
Planned Paving.csv,24,NW  21ST AVE,Thurman st-Vaugnst Ramp,SHERLOCK AVE
Planned Paving.csv,25,NW 20th,NW Raleight to Upshur St,NW Thurman from 21st 50 19th Ave
